player_id,country,region,platform,acquisition_channel,age,skill_segment,device_name,clean_signup_date,row_num
P00011,NULL,APAC,PC,"Paid Search",41,Core,"Windows 10","2026-03-06 00:00:00",1
P00012,"United Kingdom",EMEA,Xbox,"Paid Search",29,Core,iPhone,"2025-12-07 00:00:00",1
P00013,"United Kingdom",EMEA,PC,Influencer,25,Core,PS5,"2026-02-22 00:00:00",1
P00014,NULL,NA,Mobile,NULL,24,Core,"Windows 11","2026-02-10 00:00:00",1
P00015,India,APAC,PC,Organic,25,Casual,iPad,"2025-12-08 00:00:00",1
P00016,Spain,EMEA,PC,Organic,41,Casual,NULL,"2026-01-06 00:00:00",1
P00017,Mexico,LATAM,PlayStation,"Paid Search",16,Core,iPhone,"2025-12-02 00:00:00",1
P00018,"United Kingdom",EMEA,NULL,"Paid Search",36,Core,"Samsung Galaxy","2025-12-22 00:00:00",1
P00019,India,APAC,Mobile,Influencer,43,Casual,"Samsung Galaxy","2025-08-01 00:00:00",1
P00020,India,APAC,PC,Influencer,19,Competitive,"Android Tablet","2025-09-01 00:00:00",1
P00020,India,APAC,PC,Influencer,19,Competitive,"Android Tablet","2025-12-23 08:31:03",1
P00021,Australia,LATAM,PC,"Paid Search",NULL,Core,Pixel,"2026-01-01 14:56:00",1
P00021,Mexico,LATAM,Xbox,Organic,NULL,Core,Pixel,"2026-01-01 14:56:00",1
P00022,"South Korea",APAC,Xbox,Influencer,25,Casual,"Samsung Galaxy","2025-11-19 00:00:00",1
P00023,"United Kingdom",EMEA,PC,Discord,38,Core,PS5,"2025-09-21 21:18:48",1
P00024,Germany,EMEA,PC,Organic,36,Casual,"Samsung Galaxy","2026-02-27 00:00:00",1
P00025,Germany,EMEA,PC,Organic,36,Casual,iPhone,"2026-01-01 00:00:00",1
P00026,"United Kingdom",EMEA,PC,"Paid Search",25,Core,"Windows 10","2025-09-08 14:38:00",1
P00027,"United States",NA,PC,Organic,43,Core,iPad,"2025-12-30 17:15:00",1
P00029,Germany,EMEA,Xbox,Organic,24,Casual,"Windows 11","2025-10-04 20:07:35",1
P00030,Brazil,LATAM,PC,"Paid Search",17,Casual,iPhone,"2025-10-03 00:00:00",1
P00031,India,APAC,PC,Influencer,17,Casual,"Windows 11","2025-10-20 00:00:00",1
P00032,Spain,EMEA,NULL,Influencer,19,Casual,"Xbox Series X","2026-02-04 21:34:39",1
P00033,India,APAC,PC,"Paid Search",20,Casual,PS5,"2025-11-15 07:23:00",1
P00034,"United States",NA,NULL,Organic,35,Competitive,PS5,"2025-12-28 00:00:00",1
P00035,"South Korea",APAC,PC,"Paid Search",40,Casual,"Android Tablet","2025-09-08 00:00:00",1
P00036,India,APAC,Mobile,"Paid Search",20,Casual,"Windows 10","2025-11-13 00:00:00",1
P00036,"United States",APAC,Mobile,"Paid Search",20,Casual,"Windows 10","2025-11-13 00:00:00",1
P00037,Germany,EMEA,PlayStation,Organic,34,Casual,Pixel,"2025-10-14 09:35:20",1
P00038,Germany,EMEA,PlayStation,Organic,44,Core,"Samsung Galaxy","2026-01-04 00:35:00",1
P00039,Germany,EMEA,PC,Influencer,18,Core,"Xbox Series X","2025-12-01 21:49:00",1
P00040,Canada,NA,Xbox,Influencer,27,Casual,"Xbox Series X","2025-12-05 00:00:00",1
P00041,Australia,APAC,PlayStation,Discord,33,Competitive,"Windows 11","2026-02-24 16:10:56",1
P00042,NULL,EMEA,Xbox,Influencer,41,Casual,PS5,"2025-09-28 03:28:00",1
P00043,Germany,EMEA,Xbox,"Paid Search",20,Casual,iPhone,"2025-08-16 00:00:00",1
P00044,Japan,APAC,PC,Influencer,20,Core,"Samsung Galaxy",NULL,1
P00045,India,APAC,PlayStation,Influencer,37,Casual,"Samsung Galaxy","2025-08-26 11:32:00",1
P00046,Spain,EMEA,PC,Organic,34,Casual,"Windows 10","2025-08-20 08:50:37",1
P00047,India,APAC,Mobile,"Paid Search",45,Core,"Windows 11","2025-09-14 00:00:00",1
P00048,"United Kingdom",EMEA,PC,"Paid Search",25,Competitive,"Samsung Galaxy","2025-11-30 00:00:00",1
P00049,"United Kingdom",EMEA,Mobile,Influencer,NULL,Competitive,"Windows 11","2025-09-29 04:08:49",1
P00050,"South Korea",APAC,Mobile,Influencer,35,Casual,"Android Tablet","2025-12-27 00:00:00",1
P00051,"South korea",APAC,PC,"App Store",24,Core,iPhone,"2025-09-16 20:52:35",1
P00052,India,APAC,Xbox,"Paid Search",34,Casual,PS5,"2025-12-09 02:47:00",1
P00053,India,APAC,PlayStation,"Paid Search",24,Casual,"Windows 10","2025-11-01 02:26:11",1
P00054,NULL,APAC,PlayStation,"Paid Search",16,Casual,PS5,"2025-12-11 19:51:02",1
P00055,France,EMEA,PC,"Paid Search",37,Casual,iPhone,"2025-11-13 00:00:00",1
P00056,Brazil,LATAM,Mobile,Influencer,34,Casual,iPad,"2025-12-09 00:00:00",1
P00057,Germany,EMEA,PlayStation,Influencer,27,Casual,NULL,"2025-11-12 10:13:00",1
P00058,Canada,NA,PlayStation,Referral,45,Core,iPhone,"2026-02-15 23:14:00",1
P00059,Germany,EMEA,PC,Organic,24,Core,"Windows 11","2026-03-01 02:28:32",1
P00060,Japan,APAC,Xbox,NULL,34,Core,PS5,"2025-08-28 07:45:00",1
P00060,"United States",APAC,Xbox,NULL,34,Core,PS5,"2025-08-28 07:45:00",1
P00061,"United States",NA,PlayStation,Organic,38,Core,PS5,"2025-11-22 00:00:00",1
P00062,Japan,APAC,PC,Influencer,37,Casual,"Windows 10","2025-10-08 12:55:00",1
P00063,Germany,EMEA,Mobile,Organic,35,Casual,"Android Tablet","2025-09-26 00:00:00",1
P00064,Mexico,LATAM,Mobile,"Paid Search",16,Casual,PS5,"2025-10-27 00:00:00",1
P00065,"United States",NA,PlayStation,"App Store",38,Casual,iPhone,"2026-01-28 01:42:00",1
P00066,"South Korea",APAC,PC,"Paid Search",40,Casual,"Windows 10","2026-02-26 00:00:00",1
P00067,India,APAC,PC,"Paid Search",29,Casual,"Windows 10","2025-11-11 05:44:15",1
P00068,"United States",NA,PC,Discord,34,Casual,"Samsung Galaxy","2026-01-25 23:54:00",1
P00069,India,APAC,PC,"Paid Search",38,Casual,"Steam Deck","2026-01-29 17:51:00",1
P00070,"United States",NA,PC,Discord,39,Casual,"Windows 11","2026-01-27 17:04:00",1
P00071,Brazil,LATAM,PC,Organic,24,Competitive,"Xbox Series X","2025-09-20 00:00:00",1
P00072,France,EMEA,Xbox,Referral,44,Casual,"Windows 10","2025-08-20 00:00:00",1
P00073,"South Korea",APAC,PC,Community,18,Core,"Windows 11",NULL,1
P00074,"United States",NA,PC,Organic,27,Core,"Xbox Series X","2026-02-16 04:20:24",1
P00075,"United Kingdom",EMEA,Mobile,Organic,42,Core,Pixel,"2026-01-13 18:29:22",1
P00076,"United States",NA,Xbox,Organic,24,Casual,"Windows 10","2026-01-11 00:00:00",1
P00077,Mexico,LATAM,Mobile,Referral,26,Casual,PS5,"2025-10-01 00:00:00",1
P00078,"South Korea",APAC,Mobile,Organic,22,Core,"Xbox Series X","2025-10-06 12:59:00",1
P00079,"United States",NA,Xbox,Influencer,36,Competitive,"Windows 11","2026-02-04 00:00:00",1
P00080,"United States",NA,Mobile,Community,40,Casual,"Xbox Series X","2025-10-23 16:56:52",1
P00081,Canada,NA,Xbox,Organic,30,Casual,"Android Tablet","2026-01-08 17:45:55",1
P00082,"United States",NA,PlayStation,Discord,26,Core,"Windows 11","2025-08-03 09:29:00",1
P00083,"United States",NA,PC,Organic,22,Competitive,Pixel,"2025-08-02 00:00:00",1
P00084,"United Kingdom",EMEA,Xbox,Influencer,40,Competitive,"Samsung Galaxy","2026-02-28 00:00:00",1
P00085,Brazil,EMEA,Xbox,Discord,23,Competitive,"Windows 10","2025-11-10 00:00:00",1
P00085,France,EMEA,PC,Influencer,23,Competitive,"Windows 10","2025-11-13 00:00:00",1
P00086,"United States",NA,PC,"Paid Search",34,Core,"Windows 10","2025-10-25 00:00:00",1
P00087,Brazil,LATAM,Mobile,Organic,21,Competitive,"Samsung Galaxy","2026-02-14 00:00:00",1
P00088,Australia,APAC,PC,Influencer,31,Core,"Steam Deck","2026-01-29 00:00:00",1
P00089,Mexico,LATAM,Xbox,"App Store",25,Casual,"Windows 10","2026-02-02 20:52:22",1
P00090,France,EMEA,PC,Organic,45,Core,iPhone,"2025-11-29 00:00:00",1
P00091,Canada,NA,Xbox,Influencer,24,Casual,iPhone,"2025-09-25 07:56:26",1
P00092,Brazil,LATAM,Mobile,Organic,45,Casual,PS5,"2025-11-17 00:00:00",1
P00093,India,EMEA,Mobile,Organic,17,Casual,"Xbox Series X","2025-11-03 04:47:00",1
P00093,"United Kingdom",EMEA,Mobile,Organic,17,Casual,"Xbox Series X","2025-11-03 04:47:00",1
P00094,"United States",NA,PC,Organic,30,Core,"Windows 11","2025-11-04 00:00:00",1
P00095,Spain,EMEA,PC,NULL,35,Core,"Windows 10","2025-11-18 02:58:00",1
P00096,"United Kingdom",EMEA,PC,Influencer,39,Core,"Android Tablet","2025-10-22 00:52:36",1
P00096,"United Kingdom",EMEA,PC,Referral,39,Core,"Android Tablet","2026-03-07 10:29:00",1
P00097,India,APAC,Mobile,Discord,27,Competitive,"Samsung Galaxy","2026-02-21 00:00:00",1
P00098,Brazil,LATAM,Xbox,"Paid Search",17,Casual,"Windows 11","2025-12-15 04:33:00",1
P00099,Mexico,LATAM,Mobile,Influencer,NULL,Casual,iPhone,"2026-01-20 00:00:00",1
P00100,India,APAC,Xbox,"App Store",22,Casual,Pixel,"2026-01-21 00:00:00",1
P00101,India,APAC,Xbox,Influencer,22,Core,"Samsung Galaxy","2026-01-17 03:03:00",1
P00102,Mexico,LATAM,PlayStation,Organic,25,Casual,"Windows 10","2026-01-17 07:41:06",1
P00103,Australia,APAC,Mobile,"Paid Search",32,Casual,"Android Tablet","2026-01-16 00:00:00",1
P00104,Australia,APAC,PlayStation,"Paid Search",37,Competitive,iPhone,"2025-12-25 00:00:00",1
P00105,Brazil,LATAM,Mobile,Organic,39,Competitive,iPhone,"2025-10-18 00:00:00",1
P00106,Brazil,LATAM,PC,Community,21,Core,"Windows 11","2025-09-13 12:22:00",1
P00107,Australia,APAC,PC,Organic,26,Core,"Steam Deck","2025-12-19 00:00:00",1
P00108,Germany,EMEA,Mobile,Organic,26,Casual,"Steam Deck","2025-12-08 19:33:00",1
P00109,"United States",NA,PlayStation,Influencer,21,Core,PS5,"2025-12-25 00:00:00",1
P00110,"United States",NA,Xbox,Influencer,45,Casual,"Android Tablet","2025-08-17 00:00:00",1
P00111,Germany,EMEA,PC,Organic,35,Core,"Samsung Galaxy","2026-01-14 00:00:00",1
P00112,Australia,APAC,Xbox,Influencer,40,Core,"Windows 11",NULL,1
P00113,Spain,EMEA,Mobile,"Paid Search",25,Casual,"Xbox Series X","2026-01-01 00:00:00",1
P00114,Brazil,LATAM,PC,Influencer,38,Competitive,"Xbox Series X","2025-09-28 00:32:02",1
P00115,"United States",NA,PC,Influencer,41,Core,"Android Tablet","2025-09-24 00:00:00",1
P00116,France,EMEA,Mobile,Influencer,21,Competitive,"Windows 10","2025-09-25 00:00:00",1
P00117,Brazil,LATAM,PC,Organic,40,Core,"Samsung Galaxy","2025-08-31 00:00:00",1
P00118,Japan,APAC,PC,Influencer,31,Core,"Samsung Galaxy","2026-02-16 00:00:00",1
P00119,"United Kingdom",EMEA,PC,"Paid Search",NULL,Casual,"Xbox Series X","2025-11-10 00:00:00",1
P00120,Canada,NA,Mobile,Influencer,25,Competitive,PS5,"2026-02-25 12:19:46",1
P00121,"United States",NA,Mobile,Influencer,16,Core,iPhone,"2025-11-21 00:00:00",1
P00122,"United States",NA,PC,Organic,37,Competitive,iPhone,"2026-02-09 00:00:00",1
P00123,India,APAC,Mobile,Organic,21,Core,"Windows 11","2025-08-04 00:13:13",1
P00124,"South Korea",APAC,Mobile,Influencer,42,Competitive,"Windows 10",NULL,1
P00125,"United States",NA,PC,Influencer,29,Core,"Windows 11","2026-01-08 00:00:00",1
P00126,Mexico,LATAM,PC,Organic,33,Casual,"Xbox Series X","2025-09-26 00:00:00",1
P00127,Japan,APAC,PlayStation,Influencer,43,Casual,"Windows 10","2026-02-21 16:30:00",1
P00128,"United States",NA,PC,Organic,27,Competitive,Pixel,"2025-08-20 00:00:00",1
P00129,"United States",NA,PlayStation,Referral,39,Core,"Samsung Galaxy","2025-12-22 15:46:00",1
P00130,India,APAC,PC,Influencer,26,Core,"Windows 11","2025-12-10 18:17:03",1
P00131,India,APAC,Xbox,Influencer,32,Casual,"Xbox Series X","2026-01-25 05:55:00",1
P00131,India,APAC,Xbox,Referral,32,Casual,"Xbox Series X","2026-01-25 05:55:00",1
P00132,Germany,EMEA,Xbox,Influencer,28,Core,"Windows 10","2025-11-27 00:00:00",1
P00133,France,EMEA,PC,Organic,36,Casual,"Xbox Series X","2025-09-12 15:16:08",1
P00134,India,APAC,Mobile,Organic,31,Casual,"Samsung Galaxy","2025-12-25 16:39:20",1
P00135,France,EMEA,Mobile,Referral,25,Casual,"Windows 10","2025-12-13 00:00:00",1
P00135,France,EMEA,Mobile,Referral,25,Casual,"Windows 10","2026-02-22 00:00:00",1
P00136,"United States",NA,Mobile,Influencer,35,Casual,PS5,"2025-10-01 08:04:00",1
P00137,"South korea",APAC,Mobile,Influencer,32,Competitive,NULL,"2025-10-13 00:00:00",1
P00138,India,APAC,Xbox,Influencer,29,Competitive,"Windows 11","2025-09-05 11:54:00",1
P00139,Australia,APAC,PlayStation,"Paid Search",36,Core,"Windows 11","2025-12-14 00:00:00",1
P00140,India,APAC,PlayStation,"App Store",19,Core,iPhone,"2025-10-15 08:26:00",1
P00141,"United Kingdom",EMEA,Mobile,Influencer,17,Casual,"Windows 10","2025-09-23 00:00:00",1
P00143,"United States",NA,PC,Influencer,35,Core,"Android Tablet","2026-01-01 05:34:00",1
P00145,"United States",NA,Mobile,NULL,41,Core,"Xbox Series X","2026-02-16 06:18:18",1
P00146,India,APAC,Mobile,NULL,44,Core,Pixel,NULL,1
P00147,"South korea",APAC,PC,Referral,27,Core,PS5,"2026-02-12 00:00:00",1
P00148,India,APAC,PC,"Paid Search",32,Casual,iPhone,"2025-09-13 00:00:00",1
P00149,NULL,APAC,NULL,Referral,19,Core,"Windows 11","2025-10-04 00:00:00",1
P00150,Mexico,LATAM,Xbox,"Paid Search",24,Casual,"Windows 11","2025-10-28 00:00:00",1
P00151,Brazil,LATAM,Mobile,Influencer,NULL,Casual,PS5,"2026-01-19 02:15:00",1
P00152,Brazil,LATAM,NULL,NULL,20,Casual,"Windows 10","2025-12-06 00:00:00",1
P00153,Japan,APAC,Mobile,Organic,42,Core,"Xbox Series X",NULL,1
P00154,Brazil,LATAM,Mobile,"Paid Search",41,Core,iPhone,"2025-08-20 11:11:00",1
P00155,Japan,APAC,PC,"Paid Search",45,Core,NULL,"2025-10-01 00:00:00",1
P00156,"United States",NA,PC,"App Store",30,Core,NULL,"2025-09-16 00:00:00",1
P00157,Brazil,LATAM,PlayStation,"App Store",42,Core,NULL,"2026-03-05 00:00:00",1
P00158,Brazil,LATAM,Mobile,Influencer,27,Competitive,"Windows 11","2025-08-01 14:09:00",1
P00159,Mexico,LATAM,NULL,Discord,37,Casual,"Windows 11","2025-11-04 22:58:00",1
P00160,Spain,EMEA,PC,Organic,NULL,Casual,"Samsung Galaxy","2025-10-22 00:00:00",1
P00161,"United States",NA,Mobile,"Paid Search",18,Competitive,"Windows 10","2026-01-30 00:00:00",1
P00162,Germany,EMEA,PC,Community,22,Core,iPhone,"2026-01-27 00:00:00",1
P00163,Brazil,LATAM,PlayStation,Influencer,28,Casual,"Xbox Series X","2026-02-02 07:06:00",1
P00164,India,APAC,Mobile,Organic,16,Core,Pixel,"2025-11-30 08:56:57",1
P00165,Australia,APAC,PlayStation,Community,17,Core,"Xbox Series X","2026-01-22 00:00:00",1
P00166,"United States",NA,PlayStation,Influencer,22,Casual,"Steam Deck","2026-03-09 10:57:49",1
P00167,Brazil,LATAM,PC,Organic,40,Casual,"Windows 10","2026-02-02 00:00:00",1
P00168,NULL,EMEA,PC,Organic,18,Core,"Samsung Galaxy","2025-11-09 03:52:51",1
P00169,Germany,EMEA,Mobile,Influencer,34,Core,"Xbox Series X","2025-12-02 03:19:00",1
P00170,Germany,EMEA,Mobile,Organic,31,Casual,Pixel,"2025-08-05 00:00:00",1
P00171,India,APAC,Mobile,Influencer,24,Competitive,"Windows 10","2025-12-04 00:00:00",1
P00172,"United Kingdom",EMEA,Mobile,NULL,31,Casual,"Samsung Galaxy","2025-10-19 00:00:00",1
P00174,"United States",NA,Xbox,Organic,39,Casual,"Samsung Galaxy","2025-12-04 11:47:00",1
P00175,"United States",NA,Mobile,"Paid Search",45,Competitive,iPhone,"2025-09-22 07:32:00",1
P00176,Germany,EMEA,Xbox,"Paid Search",33,Core,"Android Tablet","2025-12-25 00:00:00",1
P00177,Germany,EMEA,PC,"App Store",30,Casual,iPhone,"2025-10-21 18:32:45",1
P00178,"United States",NA,PC,Referral,32,Casual,Pixel,NULL,1
P00179,"United States",NA,Xbox,Influencer,41,Core,"Windows 11","2025-11-21 15:36:00",1
P00180,India,APAC,PC,Organic,39,Casual,Pixel,"2025-08-15 06:49:47",1
P00181,India,APAC,Mobile,Influencer,45,Casual,"Windows 11","2025-08-05 22:30:22",1
P00182,Brazil,LATAM,NULL,Referral,28,Competitive,"Xbox Series X","2025-11-07 16:41:00",1
P00183,Brazil,LATAM,Mobile,Influencer,30,Core,"Windows 10","2026-03-08 00:00:00",1
P00184,"United Kingdom",EMEA,PlayStation,"Paid Search",34,Casual,Pixel,"2025-12-25 00:00:00",1
P00185,Spain,EMEA,Xbox,Organic,21,Casual,Pixel,"2026-01-17 00:00:00",1
P00186,Brazil,LATAM,PC,Influencer,18,Casual,Pixel,"2025-12-03 23:21:00",1
P00187,"United Kingdom",EMEA,PC,Organic,32,Casual,"Windows 10","2026-01-01 00:00:00",1
P00189,India,APAC,Xbox,"Paid Search",26,Casual,"Android Tablet","2025-08-09 00:00:00",1
P00190,"United States",NA,PC,Organic,36,Casual,Pixel,"2025-12-01 06:24:00",1
P00191,India,APAC,Mobile,Discord,39,Core,iPhone,"2025-10-02 04:09:59",1
P00192,"South Korea",APAC,Mobile,Influencer,44,Core,"Android Tablet","2026-01-11 00:00:00",1
P00193,India,APAC,Xbox,"Paid Search",39,Casual,"Windows 11","2026-01-16 06:21:00",1
P00194,Japan,APAC,PlayStation,Organic,41,Casual,iPhone,"2025-09-23 00:00:00",1
P00195,France,EMEA,Mobile,"Paid Search",31,Casual,"Android Tablet","2026-01-17 04:49:06",1
P00196,Japan,APAC,PlayStation,Community,37,Core,iPhone,"2025-10-19 10:15:46",1
P00197,India,APAC,PlayStation,Organic,17,Casual,"Steam Deck","2026-01-27 01:53:32",1
P00198,India,APAC,PC,Organic,36,Core,iPhone,"2025-12-25 00:00:00",1
P00199,"United States",NA,PlayStation,Organic,35,Core,"Windows 11","2025-12-03 07:35:00",1
P00200,India,APAC,Xbox,Influencer,28,Core,iPhone,"2026-01-16 00:13:00",1
P00201,Brazil,LATAM,PC,Influencer,44,Competitive,"Windows 11","2026-01-17 04:32:31",1
P00202,"United States",NA,Mobile,Organic,39,Core,"Xbox Series X","2025-12-08 19:51:46",1
P00204,"United States",NA,PlayStation,Influencer,27,Casual,"Xbox Series X","2026-02-04 00:00:00",1
P00204,"United States",NA,Xbox,Influencer,27,Casual,"Xbox Series X","2026-02-04 00:00:00",1
P00205,"South Korea",APAC,Mobile,Influencer,30,Casual,iPad,"2026-01-15 18:26:00",1
P00206,Australia,APAC,Mobile,"Paid Search",30,Competitive,"Android Tablet","2026-02-26 00:00:00",1
P00207,"United States",NA,PC,"Paid Search",20,Casual,"Windows 10","2025-11-29 00:00:00",1
P00208,"United States",NA,PC,Organic,34,Competitive,iPhone,"2026-01-01 00:00:00",1
P00209,India,APAC,Xbox,Influencer,42,Core,"Windows 11","2025-09-21 23:32:00",1
P00210,Germany,EMEA,PlayStation,"Paid Search",26,Casual,iPhone,"2025-12-27 00:00:00",1
P00211,France,EMEA,PC,"Paid Search",43,Competitive,"Android Tablet","2026-02-22 00:00:00",1
P00212,Brazil,LATAM,Mobile,Influencer,42,Core,"Xbox Series X","2026-01-08 00:00:00",1
P00213,France,EMEA,Mobile,"App Store",38,Competitive,"Windows 11","2025-10-28 00:00:00",1
P00214,Brazil,LATAM,Xbox,"App Store",31,Core,iPhone,"2025-12-26 04:48:00",1
P00215,"United States",NA,Mobile,"Paid Search",28,Core,"Xbox Series X","2025-11-06 00:00:00",1
P00216,India,APAC,PC,"App Store",22,Casual,"Windows 10","2025-11-09 00:00:00",1
P00217,Germany,EMEA,Xbox,Organic,23,Competitive,"Samsung Galaxy","2025-12-01 00:00:00",1
P00218,France,EMEA,PlayStation,Organic,45,Competitive,"Android Tablet","2025-09-07 00:00:00",1
P00219,France,EMEA,Mobile,Organic,24,Core,iPhone,"2025-08-28 12:34:48",1
P00220,"United States",NA,PC,Influencer,19,Core,PS5,"2026-01-13 00:41:02",1
P00221,Brazil,LATAM,Mobile,Organic,24,Casual,"Steam Deck","2025-09-10 00:00:00",1
P00222,"United States",NA,PC,Organic,25,Core,"Windows 11","2026-01-21 00:00:00",1
P00223,"United States",NA,Mobile,Organic,33,Core,"Windows 11","2025-10-13 11:13:52",1
P00224,France,EMEA,PC,Organic,37,Core,iPhone,"2025-11-19 00:00:00",1
P00225,Japan,APAC,Mobile,Influencer,23,Core,"Windows 11","2025-08-11 00:00:00",1
P00226,Spain,EMEA,Xbox,Organic,25,Casual,NULL,"2025-08-08 00:00:00",1
P00227,Brazil,LATAM,PC,Organic,31,Competitive,"Android Tablet","2026-02-06 00:00:00",1
P00228,Australia,APAC,PC,Discord,40,Core,iPhone,"2026-01-13 00:00:00",1
P00229,Brazil,LATAM,Xbox,Organic,19,Casual,"Android Tablet","2025-08-05 00:00:00",1
P00230,France,EMEA,Xbox,Organic,22,Competitive,"Android Tablet","2025-09-11 00:00:00",1
P00231,Germany,EMEA,Mobile,Organic,19,Competitive,"Windows 11","2025-09-09 00:00:00",1
P00232,NULL,EMEA,Mobile,Organic,17,Core,"Android Tablet","2026-01-27 00:00:00",1
P00233,NULL,EMEA,PlayStation,Discord,36,Casual,iPad,"2026-01-27 18:42:20",1
P00234,Brazil,LATAM,PC,"App Store",23,Core,"Samsung Galaxy","2025-08-23 18:22:00",1
P00235,Mexico,LATAM,Xbox,"Paid Search",42,Casual,iPhone,"2025-08-26 00:00:00",1
P00236,Mexico,LATAM,PC,"Paid Search",31,Casual,PS5,"2026-02-25 02:48:00",1
P00237,India,APAC,Mobile,"App Store",43,Core,PS5,"2025-09-12 00:00:00",1
P00238,India,APAC,PlayStation,Organic,34,Casual,"Samsung Galaxy","2026-02-14 19:50:11",1
P00239,"United Kingdom",EMEA,PC,"Paid Search",18,Casual,"Xbox Series X",NULL,1
P00240,Canada,NA,PC,Influencer,27,Core,"Windows 11","2025-09-01 00:00:00",1
P00241,India,APAC,Xbox,"Paid Search",39,Core,iPhone,"2026-01-16 00:00:00",1
P00242,Canada,NA,Mobile,"Paid Search",24,Competitive,iPhone,"2025-10-31 00:00:00",1
P00243,Japan,APAC,Mobile,Influencer,26,Casual,"Windows 10","2025-10-08 02:03:00",1
P00243,Japan,APAC,Mobile,Referral,26,Casual,"Windows 10","2025-10-08 02:03:00",1
P00244,Canada,NA,PlayStation,Influencer,22,Casual,iPhone,"2025-09-02 13:36:00",1
P00245,"United Kingdom",EMEA,PC,Organic,32,Casual,iPad,"2025-11-29 00:00:00",1
P00246,"South Korea",APAC,PlayStation,Influencer,20,Core,iPad,"2025-10-06 19:20:00",1
P00247,"United States",NA,Xbox,Organic,24,Core,"Xbox Series X","2026-01-01 07:59:00",1
P00248,Canada,NA,PlayStation,Discord,40,Casual,"Windows 10","2026-02-26 00:00:00",1
P00249,India,APAC,PC,"Paid Search",44,Casual,iPhone,"2025-08-10 00:00:00",1
P00250,"United States",NA,PC,Influencer,24,Core,Pixel,"2025-12-15 22:39:52",1
P00251,Canada,NA,Mobile,"Paid Search",30,Core,"Xbox Series X","2025-08-31 00:00:00",1
P00252,India,NA,PC,Organic,40,Casual,iPhone,"2026-02-26 00:00:00",1
P00252,"United States",NA,PC,Organic,40,Casual,iPhone,"2026-02-26 00:00:00",1
P00253,"United Kingdom",EMEA,PlayStation,"Paid Search",23,Competitive,"Samsung Galaxy","2025-08-05 00:00:00",1
P00254,Brazil,LATAM,PlayStation,Organic,42,Core,NULL,"2025-09-03 00:00:00",1
