session_id,player_id,session_start,session_minutes,matches_played,wins,kills,disconnect_flag,server_region,platform_reported,clean_session_minutes,clean_matches_played,clean_wins,clean_kills,clean_session_start
S000018,P00009,"01/12/2026 15:12",45,3,2,14,No,NULL,PC,45.00,3,2,14,"2026-01-12 15:12:00"
S000019,P00009,01/03/2026,40,3,1,13,No,NA-West,Mobile,40.00,3,1,13,"2026-01-03 00:00:00"
S000020,P00009,2026-02-02T18:22:24Z,14,1,0,5,No,LATAM,Xbox,14.00,1,0,5,"2026-02-02 18:22:24"
S000021,P00009,2026-01-30T10:00:24Z,22,2,1,2,No,NA-East,Mobile,22.00,2,1,2,"2026-01-30 10:00:24"
S000022,P00010,"03/10/2026 20:21",46,3,2,11,Yes,NA-East,Xbox,46.00,3,2,11,"2026-03-10 20:21:00"
S000023,P00010,"04/14/2026 18:25",33,3,1,20,No,NULL,Xbox,33.00,3,1,20,"2026-04-14 18:25:00"
S000024,P00010,2026-03-19T13:03:16Z,44,3,1,19,NULL,NULL,NULL,44.00,3,1,19,"2026-03-19 13:03:16"
S000025,P00011,"03/25/2026 16:51",61,4,2,13,Yes,APAC,NULL,61.00,4,2,13,"2026-03-25 16:51:00"
S000026,P00011,2026-04-22T08:36:16Z,28,2,1,4,Yes,EU-Central,PC,28.00,2,1,4,"2026-04-22 08:36:16"
S000027,P00011,"Apr 07, 2026 06:16AM",20m,1,1,0,Yes,EU-Central,PC,20.00,1,1,0,"2026-04-07 06:16:00"
S000028,P00011,"Apr 22, 2026 08:29AM",40,3,1,13,No,APAC,Mobile,40.00,3,1,13,"2026-04-22 08:29:00"
S000029,P00011,"04/01/2026 20:26",59,4,2,14,Yes,LATAM,PlayStation,59.00,4,2,14,"2026-04-01 20:26:00"
S000030,P00011,2026-03-24T19:42:16Z,"57 mins",4,2,15,No,NA-East,PC,57.00,4,2,15,"2026-03-24 19:42:16"
S000031,P00011,"Mar 23, 2026 05:11AM",23,2,1,2,Yes,APAC,Mobile,23.00,2,1,2,"2026-03-23 05:11:00"
S000032,P00011,2026-03-30T02:15:16Z,30,2,1,10,No,NULL,Xbox,30.00,2,1,10,"2026-03-30 02:15:16"
S000033,P00011,"Apr 05, 2026",18,1,1,2,Yes,EU-Central,PC,18.00,1,1,2,"2026-04-05 00:00:00"
S000034,P00011,"03/31/2026 10:19",12,1,0,3,Yes,EU-Central,PlayStation,12.00,1,0,3,"2026-03-31 10:19:00"
S000035,P00011,2026-04-06T12:55:16Z,32,2,1,13,Yes,NA-West,NULL,32.00,2,1,13,"2026-04-06 12:55:16"
S000036,P00014,2026-02-15T13:43:10Z,9,1,1,7,Yes,NULL,Xbox,9.00,1,1,7,"2026-02-15 13:43:10"
S000037,P00014,2026/03/13,18,1,1,0,No,NA-West,Xbox,18.00,1,1,0,"2026-03-13 00:00:00"
S000038,P00014,"Feb 14, 2026 08:34PM",34,2,1,6,No,NA-East,Xbox,34.00,2,1,6,"2026-02-14 20:34:00"
S000039,P00014,"03/19/2026 05:41",32,2,1,5,No,NULL,PC,32.00,2,1,5,"2026-03-19 05:41:00"
S000040,P00014,2026-02-24T11:27:10Z,"43 mins",2,1,,No,APAC,Mobile,43.00,2,1,NULL,"2026-02-24 11:27:10"
S000041,P00014,"03/07/2026 08:47",16,1,1,3,No,EU-Central,PC,16.00,1,1,3,"2026-03-07 08:47:00"
S000042,P00014,2026-03-21T18:42:10Z,"6 mins",1,1,6,Yes,NA-West,Xbox,6.00,1,1,6,"2026-03-21 18:42:10"
S000043,P00017,2026-01-18T13:26:51Z,52,5,2,25,Yes,LATAM,PC,52.00,5,2,25,"2026-01-18 13:26:51"
S000044,P00017,"12/23/2025 03:17",53,NULL,,16,Yes,EU-Central,PC,53.00,NULL,NULL,NULL,"2025-12-23 03:17:00"
S000045,P00017,"12/04/2025 02:40",34,2,1,11,No,NULL,Mobile,34.00,2,1,11,"2025-12-04 02:40:00"
S000046,P00017,"Jan 12, 2026",17,1,1,3,Yes,NULL,PC,17.00,1,1,3,"2026-01-12 00:00:00"
S000047,P00017,2026-01-04T20:27:51Z,46m,3,1,10,Yes,NULL,Xbox,46.00,3,1,10,"2026-01-04 20:27:51"
S000048,P00017,"12/07/2025 12:55",36,3,2,10,NULL,NA-West,PC,36.00,3,2,10,"2025-12-07 12:55:00"
S000049,P00017,2026-01-05T17:15:51Z,46,3,,15,Yes,NA-East,NULL,46.00,3,NULL,15,"2026-01-05 17:15:51"
S000050,P00017,2025-12-24T07:05:51Z,37,3,1,11,No,LATAM,PlayStation,37.00,3,1,11,"2025-12-24 07:05:51"
S000051,P00017,2025-12-27T23:01:51Z,48,3,1,9,No,NA-West,Xbox,48.00,3,1,9,"2025-12-27 23:01:51"
S000052,P00018,"01/25/2026 20:38",28,3,1,18,No,NULL,NULL,28.00,3,1,18,"2026-01-25 20:38:00"
S000053,P00018,01/02/2026,6,1,1,5,No,NULL,PC,6.00,1,1,5,"2026-01-02 00:00:00"
S000054,P00024,"03/19/2026 17:41",57,5,2,16,No,NULL,Mobile,57.00,5,2,16,"2026-03-19 17:41:00"
S000055,P00024,"04/05/2026 05:57",26,2,1,,No,LATAM,Mobile,26.00,2,1,NULL,"2026-04-05 05:57:00"
S000056,P00026,"10/27/2025 05:11",72,6,3,28,Yes,NULL,PC,72.00,6,3,28,"2025-10-27 05:11:00"
S000057,P00027,"02/15/2026 11:33",42,3,1,11,Yes,APAC,PC,42.00,3,1,11,"2026-02-15 11:33:00"
S000058,P00027,2026.02.14,11m,1,0,10,No,NA-West,PC,11.00,1,0,10,"2026-02-14 00:00:00"
S000059,P00027,2026-01-04T10:34:40Z,77,5,2,23,No,NA-East,Xbox,77.00,5,2,23,"2026-01-04 10:34:40"
S000060,P00027,2026-02-07T17:33:40Z,32,2,1,8,No,NULL,Xbox,32.00,2,1,8,"2026-02-07 17:33:40"
S000061,P00027,2026-02-19T12:15:40Z,30,3,1,10,No,NA-East,PlayStation,30.00,3,1,10,"2026-02-19 12:15:40"
S000062,P00027,"01/08/2026 07:22",34,3,1,26,Yes,LATAM,NULL,34.00,3,1,26,"2026-01-08 07:22:00"
S000063,P00027," 12/31/2025 ",56,3,1,12,Yes,EU-Central,PC,56.00,3,1,12,"2025-12-31 00:00:00"
S000064,P00027,"02/10/2026 08:32",63,5,2,18,No,NA-East,PlayStation,63.00,5,2,18,"2026-02-10 08:32:00"
S000065,P00027,2026-01-22T01:26:40Z,59,3,2,7,No,NA-East,PC,59.00,3,2,7,"2026-01-22 01:26:40"
S000066,P00027,"2026-02-06 18:19:40",42,4,1,15,No,NA-West,PlayStation,42.00,4,1,15,"2026-02-06 18:19:40"
S000067,P00027,2026-02-18T23:21:40Z,58,3,1,9,No,NA-West,NULL,58.00,3,1,9,"2026-02-18 23:21:40"
S000068,P00027,"01/29/2026 03:19",27,2,1,13,No,NULL,PlayStation,27.00,2,1,13,"2026-01-29 03:19:00"
S000069,P00028,08-03-2026,43,3,1,16,Yes,APAC,Xbox,43.00,3,1,16,"2026-03-08 00:00:00"
S000070,P00028,"04/02/2026 17:43",27,2,1,8,No,LATAM,PC,27.00,2,1,8,"2026-04-02 17:43:00"
S000071,P00028,"04/21/2026 01:30",41m,3,1,10,Yes,EU-Central,PC,41.00,3,1,10,"2026-04-21 01:30:00"
S000072,P00028,2026.03.16,21,2,1,9,Yes,APAC,Xbox,21.00,2,1,9,"2026-03-16 00:00:00"
S000073,P00028,"04/04/2026 12:34",37,3,2,18,NULL,NA-East,Xbox,37.00,3,2,18,"2026-04-04 12:34:00"
S000074,P00028,"04/25/26 07:30",30,3,1,11,No,NA-West,PC,30.00,3,1,11,"2026-04-25 07:30:00"
S000075,P00028,"Mar 06, 2026 03:15PM",44,3,2,9,No,LATAM,PlayStation,44.00,3,2,9,"2026-03-06 15:15:00"
S000076,P00028,2026-04-07T15:58:00Z,13,1,0,6,No,APAC,PC,13.00,1,0,6,"2026-04-07 15:58:00"
S000077,P00030,"11/02/2025 20:32",41,3,1,20,Yes,EU-Central,PC,41.00,3,1,20,"2025-11-02 20:32:00"
S000078,P00030,"10/29/2025 00:02",30,2,1,16,Yes,APAC,PC,30.00,2,1,16,"2025-10-29 00:02:00"
S000079,P00030,"11/10/2025 13:04","33 mins",2,1,12,No,EU-Central,Mobile,33.00,2,1,12,"2025-11-10 13:04:00"
S000080,P00030,"11/20/2025 16:44",48,4,,,No,LATAM,NULL,48.00,4,NULL,NULL,"2025-11-20 16:44:00"
S000081,P00030,2025-11-14T20:01:21Z,40m,2,1,8,Yes,NA-East,PC,40.00,2,1,8,"2025-11-14 20:01:21"
S000082,P00030,11-10-2025,56,NULL,4,29,NULL,NULL,Mobile,56.00,NULL,4,NULL,"2025-10-11 00:00:00"
S000083,P00030,2025-11-02T06:00:21Z,38,3,2,15,Yes,NA-West,PC,38.00,3,2,15,"2025-11-02 06:00:21"
S000084,P00031,"11/06/2025 12:33",44,4,2,23,Yes,NULL,PC,44.00,4,2,23,"2025-11-06 12:33:00"
S000085,P00031,2025/11/21,55,4,3,16,No,NULL,PC,55.00,4,3,16,"2025-11-21 00:00:00"
S000086,P00031,"12/05/2025 01:46",40,2,1,8,Yes,NA-West,Mobile,40.00,2,1,8,"2025-12-05 01:46:00"
S000087,P00031,2025-10-30T12:12:00Z,41,3,1,11,No,NA-East,Xbox,41.00,3,1,11,"2025-10-30 12:12:00"
S000088,P00031,2025.11.14,62,4,2,18,No,LATAM,Mobile,62.00,4,2,18,"2025-11-14 00:00:00"
S000089,P00031,"11/17/2025 18:24",40,3,2,19,Yes,NA-West,PC,40.00,3,2,19,"2025-11-17 18:24:00"
S000090,P00032,"2026-02-13 15:43:39",40,3,1,,No,EU-Central,NULL,40.00,3,1,NULL,"2026-02-13 15:43:39"
S000091,P00032,"03/04/2026 02:02",38,3,2,17,Yes,LATAM,PC,38.00,3,2,17,"2026-03-04 02:02:00"
S000092,P00032,"08.03.2026 21:18",26,2,1,15,No,NULL,PC,26.00,2,1,15,"2026-03-08 21:18:00"
S000093,P00032,2026-02-26T10:50:39Z,6,1,1,2,Yes,LATAM,PlayStation,6.00,1,1,2,"2026-02-26 10:50:39"
S000094,P00032,"02/24/2026 03:17",67,4,2,16,No,APAC,PC,67.00,4,2,16,"2026-02-24 03:17:00"
S000095,P00032,"03/18/26 00:47",45,3,2,11,Yes,NULL,Xbox,45.00,3,2,11,"2026-03-18 00:47:00"
S000096,P00032,"03/21/2026 05:50",39,3,2,21,Yes,NA-East,PlayStation,39.00,3,2,21,"2026-03-21 05:50:00"
S000097,P00032,2026.03.23,56,4,2,18,No,EU-Central,PC,56.00,4,2,18,"2026-03-23 00:00:00"
S000098,P00034,2026.01.03,66,4,2,20,No,EU-Central,Mobile,66.00,4,2,20,"2026-01-03 00:00:00"
S000099,P00034,2025-12-30,40,3,,15,Yes,NULL,PC,40.00,3,NULL,15,"2025-12-30 00:00:00"
S000100,P00034,2026-01-08T08:52:40Z,45,3,1,18,No,EU-Central,PC,45.00,3,1,18,"2026-01-08 08:52:40"
S000101,P00034,"02/10/2026 17:24",30,3,1,5,Yes,NULL,PC,30.00,3,1,5,"2026-02-10 17:24:00"
S000102,P00034,"02/03/2026 03:19","65 mins",4,2,21,NULL,APAC,Xbox,65.00,4,2,21,"2026-02-03 03:19:00"
S000103,P00034,"01/28/2026 02:45",37,3,1,14,NULL,NA-West,PC,37.00,3,1,14,"2026-01-28 02:45:00"
S000104,P00037,"11/29/2025 17:45",47,NULL,2,16,Yes,NA-East,PC,47.00,NULL,2,NULL,"2025-11-29 17:45:00"
S000105,P00037,2025-11-10T02:44:20Z,50,4,3,15,No,NULL,Mobile,50.00,4,3,15,"2025-11-10 02:44:20"
S000106,NULL," 2025.11.21",57,4,2,16,Yes,EU-Central,PC,57.00,4,2,16,"2025-11-21 00:00:00"
S000107,P00037," Nov 08, 2025 02:13AM",39,3,1,11,Yes,NA-East,NULL,39.00,3,1,11,"2025-11-08 02:13:00"
S000108,P00037,12/03/2025,22,2,1,6,Yes,NULL,Xbox,22.00,2,1,6,"2025-12-03 00:00:00"
S000109,P00037,2025-11-17T04:19:20Z,68,6,4,31,No,NULL,PC,68.00,6,4,31,"2025-11-17 04:19:20"
S000110,P00037,2025-11-20T09:03:20Z,53,4,2,16,Yes,NA-East,PC,53.00,4,2,16,"2025-11-20 09:03:20"
S000111,P00037,"11/19/2025 03:30","64 mins",5,4,23,Yes,NULL,PlayStation,64.00,5,4,23,"2025-11-19 03:30:00"
S000112,P00038,2026-01-13T05:41:20Z,57,4,1,10,No,EU-Central,Mobile,57.00,4,1,10,"2026-01-13 05:41:20"
S000113,P00038,"02/04/26 07:30",53,5,2,20,No,NA-East,PC,53.00,5,2,20,"2026-02-04 07:30:00"
S000114,P00038,"Jan 30, 2026 10:12PM",29,2,1,3,Yes,NULL,PC,29.00,2,1,3,"2026-01-30 22:12:00"
S000115,P00038,2026-02-12T17:27:20Z,73,5,2,22,Yes,LATAM,PC,73.00,5,2,22,"2026-02-12 17:27:20"
S000116,P00038,2026-02-12T17:27:20Z,73,5,2,22,Yes,LATAM,PC,73.00,5,2,22,"2026-02-12 17:27:20"
S000117,P00038,2026-01-18T01:49:20Z,35,2,1,10,No,NULL,PlayStation,35.00,2,1,10,"2026-01-18 01:49:20"
S000118,P00038,"02/14/2026 06:41",43,3,1,13,No,APAC,Mobile,43.00,3,1,13,"2026-02-14 06:41:00"
S000119,P00038,2026-02-05T07:21:20Z,42,4,1,17,Yes,APAC,PlayStation,42.00,4,1,17,"2026-02-05 07:21:20"
S000120,P00038,2026-01-29T16:42:20Z,33,3,1,5,Yes,NA-East,PC,33.00,3,1,5,"2026-01-29 16:42:20"
S000121,P00038,2026/02/09,48,5,3,21,No,NA-West,PC,48.00,5,3,21,"2026-02-09 00:00:00"
S000122,P00039,2026/01/14,39,4,1,27,Yes,NA-East,Mobile,39.00,4,1,27,"2026-01-14 00:00:00"
S000123,P00039,"Dec 06, 2025",16,1,0,0,No,NULL,PC,16.00,1,0,0,"2025-12-06 00:00:00"
S000124,P00039,"01/09/2026 13:44",34,2,1,9,Yes,LATAM,Mobile,34.00,2,1,9,"2026-01-09 13:44:00"
S000125,P00039,2026-01-21T02:02:23Z,19,2,1,3,Yes,NULL,PC,19.00,2,1,3,"2026-01-21 02:02:23"
S000126,NULL,2025-12-12T10:07:23Z,56,4,3,,No,LATAM,PC,56.00,4,3,NULL,"2025-12-12 10:07:23"
S000127,P00039,"01/11/2026 09:39",49,4,3,,Yes,EU-Central,Xbox,49.00,4,3,NULL,"2026-01-11 09:39:00"
S000128,P00044,"16.10.2025 13:39",43,3,1,19,NULL,NA-East,PC,43.00,3,1,19,"2025-10-16 13:39:00"
S000129,P00044,"11/16/2025 14:04",63,NULL,2,15,Yes,NA-East,PC,63.00,NULL,2,NULL,"2025-11-16 14:04:00"
S000130,P00044,"10/11/2025 18:30",46,3,1,15,NULL,NA-West,PlayStation,46.00,3,1,15,"2025-10-11 18:30:00"
S000131,P00044,2025-11-09T02:24:19Z,51,5,2,15,No,NULL,PC,51.00,5,2,15,"2025-11-09 02:24:19"
S000132,P00044,"Nov 04, 2025",37,2,1,15,No,LATAM,PC,37.00,2,1,15,"2025-11-04 00:00:00"
S000133,P00044,"10/29/2025 07:15",48,3,2,14,No,LATAM,Mobile,48.00,3,2,14,"2025-10-29 07:15:00"
S000134,P00044,2025-10-08T01:03:19Z,35,2,1,3,No,NA-East,PC,35.00,2,1,3,"2025-10-08 01:03:19"
S000135,P00044,2025-10-25T00:16:19Z,43,3,1,8,Yes,LATAM,PC,43.00,3,1,8,"2025-10-25 00:16:19"
S000136,P00044,11/12/2025,54,3,2,18,Yes,NULL,Xbox,54.00,3,2,18,"2025-11-12 00:00:00"
S000137,P00044,2025-11-09T02:57:19Z,"67 mins",4,2,23,Yes,NULL,Xbox,67.00,4,2,23,"2025-11-09 02:57:19"
S000138,P00044,"10/15/2025 00:23",62,4,1,16,Yes,EU-Central,PC,62.00,4,1,16,"2025-10-15 00:23:00"
S000139,P00050,2026.01.17,44,3,2,11,No,APAC,NULL,44.00,3,2,11,"2026-01-17 00:00:00"
S000140,P00050," 2025/12/28",34,3,1,14,Yes,NA-East,PlayStation,34.00,3,1,14,"2025-12-28 00:00:00"
S000141,P00050,"01/30/26 06:52",35,2,1,10,No,NA-East,Xbox,35.00,2,1,10,"2026-01-30 06:52:00"
S000142,P00051,2025-09-25T05:18:35Z,21,1,0,6,No,LATAM,Mobile,21.00,1,0,6,"2025-09-25 05:18:35"
S000143,P00051,"10/06/2025 10:41",23,2,1,10,Yes,NA-East,Mobile,23.00,2,1,10,"2025-10-06 10:41:00"
S000144,P00051,"2025.10.15 ",52,5,2,20,No,LATAM,PC,52.00,5,2,20,"2025-10-15 00:00:00"
S000145,P00051,"Sep 23, 2025 09:46AM",33m,3,2,15,No,LATAM,Xbox,33.00,3,2,15,"2025-09-23 09:46:00"
S000146,P00051,"Oct 23, 2025 06:37AM",13,1,0,1,Yes,EU-Central,Mobile,13.00,1,0,1,"2025-10-23 06:37:00"
S000147,P00051,"10/02/25 09:24",8,1,1,0,No,NA-West,PC,8.00,1,1,0,"2025-10-02 09:24:00"
S000148,P00051,"10/31/25 03:46",53,3,1,14,Yes,LATAM,PC,53.00,3,1,14,"2025-10-31 03:46:00"
S000149,P00057,2025-12-10T18:21:46Z,37,3,1,9,Yes,APAC,PC,37.00,3,1,9,"2025-12-10 18:21:46"
S000150,P00057,2025-12-26T20:52:46Z,69,4,2,15,NULL,NULL,PC,69.00,4,2,15,"2025-12-26 20:52:46"
S000151,P00057,2025-11-30T17:41:46Z,49,3,2,19,Yes,NA-West,Mobile,49.00,3,2,19,"2025-11-30 17:41:46"
S000152,P00057,2025-11-16,39,2,1,10,NULL,NA-West,PlayStation,39.00,2,1,10,"2025-11-16 00:00:00"
S000153,P00057,2025-12-18T15:05:46Z,67,5,3,,No,NULL,PlayStation,67.00,5,3,NULL,"2025-12-18 15:05:46"
S000154,P00057,"11/30/2025 16:02",34,2,1,12,Yes,NULL,Mobile,34.00,2,1,12,"2025-11-30 16:02:00"
S000155,P00057,2025-11-28T08:15:46Z,14,1,1,2,NULL,NULL,PC,14.00,1,1,2,"2025-11-28 08:15:46"
S000156,P00058,"02/25/2026 10:51",26,2,1,7,No,NULL,Xbox,26.00,2,1,7,"2026-02-25 10:51:00"
S000157,P00058,"02/25/2026 10:51",26,2,1,7,No,NULL,Xbox,26.00,2,1,7,"2026-02-25 10:51:00"
S000158,P00058,"02/19/2026 23:40",30,2,1,7,Yes,EU-Central,PlayStation,30.00,2,1,7,"2026-02-19 23:40:00"
S000159,P00058,"03/16/2026 00:09",34,2,1,12,No,APAC,PC,34.00,2,1,12,"2026-03-16 00:09:00"
S000160,P00058,2026-04-01T19:43:40Z,34,3,2,20,No,LATAM,Xbox,34.00,3,2,20,"2026-04-01 19:43:40"
S000161,P00058,2026-03-01T23:46:40Z,47m,3,2,20,NULL,NA-West,PC,47.00,3,2,20,"2026-03-01 23:46:40"
S000162,P00058,"03.04.2026 10:11",48,5,3,25,NULL,NA-East,PC,48.00,5,3,25,"2026-04-03 10:11:00"
S000163,P00058,2026-03-17T01:39:40Z,53,4,3,12,No,LATAM,PC,53.00,4,3,12,"2026-03-17 01:39:40"
S000164,P00059,2026-03-10T15:26:32Z,49,4,3,24,Yes,NULL,Mobile,49.00,4,3,24,"2026-03-10 15:26:32"
S000165,NULL,2026-03-29T08:12:32Z,30,2,1,12,NULL,NA-East,Mobile,30.00,2,1,12,"2026-03-29 08:12:32"
S000166,P00059,"03/03/2026 06:55",65,4,1,20,NULL,NA-East,Mobile,65.00,4,1,20,"2026-03-03 06:55:00"
S000167,P00059,2026.03.30,44,3,2,15,Yes,NULL,Mobile,44.00,3,2,15,"2026-03-30 00:00:00"
S000168,P00060,2025-08-28T10:11:58Z,51,5,3,22,Yes,EU-Central,NULL,51.00,5,3,22,"2025-08-28 10:11:58"
S000169,P00060,"09/05/2025 15:54",45,4,2,21,No,NA-West,PC,45.00,4,2,21,"2025-09-05 15:54:00"
S000170,P00060,"10/13/2025 11:28",35,2,1,,NULL,APAC,NULL,35.00,2,1,NULL,"2025-10-13 11:28:00"
S000171,P00062,"11/04/2025 17:42","37 mins",NULL,1,16,No,NA-East,PC,37.00,NULL,1,NULL,"2025-11-04 17:42:00"
S000172,P00062,"11/04/2025 17:42","37 mins",NULL,1,16,No,NA-East,PC,37.00,NULL,1,NULL,"2025-11-04 17:42:00"
S000173,P00070,"2026-02-17 00:11:13",9,1,0,4,Yes,NULL,Mobile,9.00,1,0,4,"2026-02-17 00:11:13"
S000174,P00070,2026-03-03,70,6,2,19,Yes,NULL,Mobile,70.00,6,2,19,"2026-03-03 00:00:00"
S000175,P00070,2026-02-05T05:34:13Z,68,5,2,25,NULL,NULL,PC,68.00,5,2,25,"2026-02-05 05:34:13"
S000176,P00070,"02/07/2026 14:29",63,4,1,16,No,APAC,Xbox,63.00,4,1,16,"2026-02-07 14:29:00"
S000177,P00070,"Mar 11, 2026",16,1,0,5,Yes,EU-Central,Mobile,16.00,1,0,5,"2026-03-11 00:00:00"
S000178,P00070,"03/11/2026 15:29",38,3,1,8,No,LATAM,PlayStation,38.00,3,1,8,"2026-03-11 15:29:00"
S000179,P00070,2026-02-28T12:28:13Z,"20 mins",1,1,3,Yes,APAC,Mobile,20.00,1,1,3,"2026-02-28 12:28:13"
S000180,P00070,"02/16/2026 09:29",38,4,2,18,Yes,APAC,PC,38.00,4,2,18,"2026-02-16 09:29:00"
S000181,P00070,"02/07/2026 23:55",49,4,1,,Yes,EU-Central,PC,49.00,4,1,NULL,"2026-02-07 23:55:00"
S000182,P00071,2025-10-07T23:09:40Z,23m,2,1,2,Yes,APAC,PlayStation,23.00,2,1,2,"2025-10-07 23:09:40"
S000183,P00071,"18.10.2025 02:56",22,2,1,8,NULL,APAC,NULL,22.00,2,1,8,"2025-10-18 02:56:00"
S000184,P00071,"2025-10-09 20:49:40 ",65,6,4,29,No,APAC,PlayStation,65.00,6,4,29,"2025-10-09 20:49:40"
S000185,P00071,2025-10-30T09:04:40Z,33,2,1,,No,LATAM,PC,33.00,2,1,NULL,"2025-10-30 09:04:40"
S000186,P00071,"2025-10-14 11:37:40",25,2,1,3,Yes,APAC,PC,25.00,2,1,3,"2025-10-14 11:37:40"
S000187,P00071,"Sep 22, 2025",34,3,2,7,Yes,LATAM,NULL,34.00,3,2,7,"2025-09-22 00:00:00"
S000188,P00071,2025-09-25T23:26:40Z,40,2,1,9,Yes,NA-East,PC,40.00,2,1,9,"2025-09-25 23:26:40"
S000189,P00073,2025-11-29T14:31:12Z,27,3,2,15,No,APAC,Xbox,27.00,3,2,15,"2025-11-29 14:31:12"
S000190,P00073,"12/07/2025 14:18",52m,4,3,20,Yes,NA-West,Mobile,52.00,4,3,20,"2025-12-07 14:18:00"
S000191,P00073,2025-12-20T19:08:12Z,29,NULL,1,11,NULL,LATAM,PC,29.00,NULL,1,NULL,"2025-12-20 19:08:12"
S000192,P00073,2025-12-19,57,3,1,13,No,LATAM,Mobile,57.00,3,1,13,"2025-12-19 00:00:00"
S000193,P00073,2025-12-20T11:51:12Z,59,6,3,24,NULL,NA-West,NULL,59.00,6,3,24,"2025-12-20 11:51:12"
S000194,P00073,"12/06/25 21:56",28,2,1,7,Yes,NULL,PlayStation,28.00,2,1,7,"2025-12-06 21:56:00"
S000195,P00075,"Feb 09, 2026",6,1,0,0,Yes,NA-West,PC,6.00,1,0,0,"2026-02-09 00:00:00"
S000196,P00075,"01/14/2026 05:13",39,3,2,13,No,NULL,PC,39.00,3,2,13,"2026-01-14 05:13:00"
S000197,P00075,2026-02-06T06:17:22Z,69,4,1,21,Yes,EU-Central,NULL,69.00,4,1,21,"2026-02-06 06:17:22"
S000198,P00075,2026-02-21,35,2,1,9,Yes,EU-Central,Mobile,35.00,2,1,9,"2026-02-21 00:00:00"
S000199,P00075,2026-02-16T14:19:22Z,23,2,1,7,No,NULL,Mobile,23.00,2,1,7,"2026-02-16 14:19:22"
S000200,P00075,"01/30/2026 03:33",38,3,2,19,Yes,EU-Central,Mobile,38.00,3,2,19,"2026-01-30 03:33:00"
S000201,P00077,2025-11-21T06:08:44Z,28,3,,10,Yes,NULL,Mobile,28.00,3,NULL,10,"2025-11-21 06:08:44"
S000202,P00077,"11/03/2025 18:17",39,3,2,20,Yes,EU-Central,Xbox,39.00,3,2,20,"2025-11-03 18:17:00"
S000203,P00077,"11/06/2025 10:59",22,1,0,6,NULL,APAC,PC,22.00,1,0,6,"2025-11-06 10:59:00"
S000204,P00078,2025-11-25T15:56:46Z,24,2,1,4,Yes,LATAM,PC,24.00,2,1,4,"2025-11-25 15:56:46"
S000205,P00078,"2025-11-16 22:41:46",29,2,1,6,Yes,NULL,PC,29.00,2,1,6,"2025-11-16 22:41:46"
S000206,P00078,"11/16/2025 11:34",12,1,1,4,Yes,EU-Central,Xbox,12.00,1,1,4,"2025-11-16 11:34:00"
S000207,P00080,2025-11-18T19:56:52Z,41,3,2,16,No,NA-East,Mobile,41.00,3,2,16,"2025-11-18 19:56:52"
S000208,P00080,"11/14/2025 09:58",27,3,2,21,Yes,LATAM,PC,27.00,3,2,21,"2025-11-14 09:58:00"
S000209,NULL,2025-11-17T17:01:52Z,44,4,1,27,NULL,NA-West,PC,44.00,4,1,27,"2025-11-17 17:01:52"
