session_id,player_id,session_start,session_minutes,matches_played,wins,kills,disconnect_flag,server_region,platform_reported
S000181,P00070,"02/07/2026 23:55",49,4,1,,Yes,EU-Central,Steam
S000182,P00071,2025-10-07T23:09:40Z,23m,2,1,2,Y,APAC,PS5
S000183,P00071,"18.10.2025 02:56",22,2,1,8,,APAC,
S000184,P00071,"2025-10-09 20:49:40 ",65,6,4,29,No,APAC,PS5
S000185,P00071,2025-10-30T09:04:40Z,33,2,1,,N,LATAM,pc/steam
S000186,P00071,"2025-10-14 11:37:40",25,2,1,3,Y,APAC,Steam
S000187,P00071,"Sep 22, 2025",34,3,2,7,1,LATAM,
S000188,P00071,2025-09-25T23:26:40Z,40,2,1,9,Y,NA-East,pc/steam
S000189,P00073,2025-11-29T14:31:12Z,27,3,2,15,No,APAC,Xbox
S000190,P00073,"12/07/2025 14:18",52m,4,3,20,1,"NA West",IOS/Android
S000191,P00073,2025-12-20T19:08:12Z,29,NULL,1,11,,LATAM,Steam
S000192,P00073,2025-12-19,57,3,1,13,0,LATAM,IOS/Android
S000193,P00073,2025-12-20T11:51:12Z,59,6,3,24,,"NA West",
S000194,P00073,"12/06/25 21:56",28,2,1,7,Y,NULL,PS5
S000195,P00075,"Feb 09, 2026",6,1,0,0,1,"NA West",Steam
S000196,P00075,"01/14/2026 05:13",39,3,2,13,N,,pc/steam
S000197,P00075,2026-02-06T06:17:22Z,69,4,1,21,Y,EU-Central,
S000198,P00075,2026-02-21,35,2,1,9,Yes,EU-Central,Mobile
S000199,P00075,2026-02-16T14:19:22Z,23,2,1,7,No,NULL,IOS/Android
S000200,P00075,"01/30/2026 03:33",38,3,2,19,Yes,EU-Central,Mobile
S000201,P00077,2025-11-21T06:08:44Z,28,3,,10,1,,IOS/Android
S000202,P00077,"11/03/2025 18:17",39,3,2,20,1,EU-Central,Xbox
S000203,P00077,"11/06/2025 10:59",22,1,0,6,,APAC,PC
S000204,P00078,2025-11-25T15:56:46Z,24,2,1,4,1,LATAM,Steam
S000205,P00078,"2025-11-16 22:41:46",29,2,1,6,1,,PC
S000206,P00078,"11/16/2025 11:34",12,1,1,4,Yes,EU-Central,Xbox
S000207,P00080,2025-11-18T19:56:52Z,41,3,2,16,N,NA-East,IOS/Android
S000208,P00080,"11/14/2025 09:58",27,3,2,21,Yes,LATAM,PC
S000209,NULL,2025-11-17T17:01:52Z,44,4,1,27,,"NA West",Steam
S000210,P00081,"01/12/2026 16:30",58,4,,21,Yes,,PC
S000211,P00082,"09/02/2025 01:15",48,3,2,13,No,"NA West",steam
S000212,P00082,09/07/2025,52,3,,6,,APAC,IOS/Android
S000213,P00082,2025-08-28T12:57:00Z,51m,3,2,21,Y,LATAM,
S000214,P00082,2025-08-28T12:57:00Z,51m,3,2,21,Y,LATAM,
S000215,P00082," 2025-08-05T23:52:00Z",17,1,0,3,No,LATAM,PS5
S000216,P00082,2025/08/18,43,3,1,8,1,APAC,steam
S000217,P00082,"Sep 12, 2025 12:28PM",44,3,1,22,Y,APAC,Mobile
S000218,P00082,"08/26/2025 12:00",13,1,0,9,0,NA-East,Xbox
S000219,P00091,"30.09.2025 09:33","46 mins",4,1,15,,NA-East,steam
S000220,P00091,2025-10-13T02:10:26Z,68,4,1,18,Yes,EU-Central,pc/steam
S000221,P00091,"11/03/2025 17:09",44,3,,22,,,Mobile
S000222,P00091," 2025.10.28",51,4,1,27,No,,IOS/Android
S000223,P00091,"10/02/2025 07:13",62,6,4,28,,LATAM,PC
S000224,P00091,"10/07/2025 07:28",58,4,3,24,,EU-Central,pc/steam
S000225,P00091,2025-10-04T12:55:26Z,66,5,2,25,Yes,LATAM,IOS/Android
S000226,P00091,"Sep 29, 2025",57,4,1,12,0,APAC,Xbox
S000227,P00091,"2025-11-11 03:39:26 ",35,2,1,9,0,,Steam
S000228,P00091,2025-10-03T02:56:26Z,47,4,2,19,Y,NULL,Mobile
S000229,P00091,"2025-10-30 13:53:26",57,5,3,25,0,NA-East,pc/steam
S000230,P00092,12/18/2025,24,2,1,9,,LATAM,steam
S000231,P00094,"12/15/2025 02:12",50,3,2,16,N,NA-East,Xbox
S000232,P00094,2025-12-15T08:44:58Z,21,1,1,,,NULL,PS5
S000233,P00094,2025-11-07T05:32:58Z,54,5,3,23,1,APAC,steam
S000234,P00094,"12/03/2025 06:42",34,2,1,7,No,NULL,Mobile
S000235,P00094,2025-11-19T06:03:58Z,40,4,1,22,Y,LATAM,pc/steam
S000236,P00094,2025.11.19,54,3,1,13,Y,,IOS/Android
S000237,P00095,"01/03/2026 23:12",27,2,1,7,No,NULL,pc/steam
S000238,P00095,"11/18/2025 17:46",36,3,1,12,No,NA-East,
S000239,P00095,"Dec 02, 2025 01:46AM",40,3,1,8,N,,PC
S000240,P00095,2026-01-04T17:28:07Z,31,3,2,12,Y,APAC,pc/steam
S000241,P00095,2025-12-15T23:59:07Z,59,5,3,27,1,EU-Central,IOS/Android
S000242,P00095,"12/04/2025 13:18",44m,3,1,18,Yes,APAC,
S000243,P00095,2025-12-31T01:24:07Z,46m,3,2,16,1,APAC,PS5
S000244,P00097,"03/28/26 05:05",44m,4,1,19,Y,,Mobile
S000245,P00097,"02/22/2026 08:03",65,5,2,21,0,LATAM,IOS/Android
S000246,P00097,2026-04-13,24,2,1,12,,EU-Central,Mobile
S000247,P00098,2026-01-29T10:32:53Z,68,6,3,,0,APAC,Steam
S000248,P00098,"12/21/2025 14:30",38,3,1,16,0,NULL,IOS/Android
S000249,P00098,2026-01-09T10:13:53Z,45,3,1,10,0,NA-East,pc/steam
S000250,P00098,"01/11/2026 14:41",28,2,1,7,Y,APAC,PS5
S000251,P00098,"01/11/2026 01:23",14,1,0,0,1,"NA West",Mobile
S000252,P00098,2026-01-17T06:50:53Z,31,3,2,18,,EU-Central,pc/steam
S000253,P00100,2026-01-25T14:57:46Z,30,2,1,7,Y,,Mobile
S000254,P00100,2026-01-30T15:16:46Z,34,NULL,1,1,,NULL,Steam
S000255,P00101,2026/02/18,15,1,0,5,N,LATAM,
S000256,P00101,2026.03.02,25,2,1,7,1,"NA West",pc/steam
S000257,P00101,2026-02-26T06:03:55Z,41,4,2,13,No,EU-Central,
S000258,P00101,"03/05/26 05:30",24,2,1,12,Yes,,PC
S000259,P00101,"02/25/2026 16:21","54 mins",5,3,29,Yes,"NA West",Mobile
S000260,P00101,2026/02/24,49,3,2,15,,LATAM,
S000261,P00101,2026-01-18T06:41:55Z,19m,1,1,1,Y,LATAM,
S000262,P00101,"20.02.2026 05:23 ",44,3,1,17,Y,NULL,PC
S000263,P00107,2026-01-08T05:52:02Z,"41 mins",2,1,9,N,NULL,PC
S000264,P00107,2026-01-25T17:52:02Z,56,4,2,21,0,,PC
S000265,P00107,"01/11/2026 19:59",41,3,2,16,Y,NULL,pc/steam
S000266,P00107,2026/01/29,"56 mins",5,,23,1,LATAM,
S000267,P00107,2026-01-13T10:23:02Z,26,2,1,8,0,NA-East,pc/steam
S000268,P00107,"Dec 28, 2025",42,4,2,29,,APAC,PS5
S000269,P00107,2026-01-22T03:06:02Z,39,3,,13,No,EU-Central,Xbox
S000270,P00110,"11.09.2025 16:19","33 mins",2,1,,No,"NA West",IOS/Android
S000271,P00110,2025-08-17T22:23:08Z,29,2,1,7,1,"NA West",PC
S000272,P00110,"08/18/2025 17:42",60,3,1,20,,"NA West",Xbox
S000273,P00110,2025-08-24T15:50:08Z,50,4,1,15,Yes,EU-Central,Xbox
S000274,NULL,"2025-09-05 15:01:08",33,3,2,12,No,NULL,steam
S000275,P00112,2025-12-25T18:00:39Z,61m,4,3,25,N,APAC,steam
S000276,P00112,2025-12-13T16:16:39Z,61,3,1,18,Y,LATAM,Mobile
S000277,P00114,19-10-2025,31,3,2,11,0,"NA West",pc/steam
S000278,P00114,2025-10-11T23:14:02Z,20,1,0,7,1,APAC,pc/steam
S000279,P00114,2025-11-04T18:20:02Z,49,3,1,18,Y,LATAM,PS5
S000280,P00114,"10/17/2025 13:58",49,4,3,,Y,EU-Central,PC
S000281,P00115,2025-10-24T10:52:24Z,36,2,1,14,Y,NULL,Xbox
S000282,P00119,"12/15/2025 00:57",54,4,2,17,,LATAM,IOS/Android
S000283,P00119,"11/20/2025 12:55",45,4,2,16,N,APAC,steam
S000284,P00122,2026-03-05T23:48:29Z,71,7,5,26,,EU-Central,IOS/Android
S000285,P00122," Feb 10, 2026",35,NULL,1,19,Y,NULL,PS5
S000286,P00122,2026-02-19T22:07:29Z,54,3,2,10,N,NULL,pc/steam
S000287,P00122,04-03-2026,47,3,1,15,1,NULL,Steam
S000288,P00122,"03/30/2026 08:43",37,3,1,,,,PS5
S000289,P00122,2026-02-18T00:08:29Z,26,1,0,7,,APAC,PS5
S000290,P00122,2026-02-24T11:35:29Z,42m,4,2,19,0,EU-Central,Mobile
S000291,P00122,2026-03-10T03:19:29Z,49,NULL,,21,Y,EU-Central,Steam
S000292,P00122,2026-02-13T00:15:29Z,14,1,1,0,Yes,"NA West",
S000293,P00122,"02/24/2026 21:50","32 mins",2,1,6,Y,NA-East,Xbox
S000294,P00122,2026-03-09T19:37:29Z,39,2,1,5,0,LATAM,pc/steam
S000295,P00124,"13.02.2026 23:24",32,3,2,23,Y,NA-East,Steam
S000296,P00124,2026-02-27T04:08:19Z,16,1,1,6,No,NA-East,PS5
S000297,P00124,"01/29/2026 06:47",22,2,1,21,No,NULL,PC
S000298,NULL,"01/30/2026 20:07",40,NULL,2,17,0,LATAM,Mobile
S000299,P00124,2026.03.08,38m,3,2,13,Y,LATAM,Mobile
S000300,P00124,"Jan 30, 2026",32,2,1,4,Yes,"NA West",steam
S000301,P00124,2026-02-27T00:04:19Z,18,2,1,9,Yes,LATAM,PC
S000302,P00124,2026-01-31T14:12:19Z,24,2,1,9,N,NA-East,PS5
S000303,P00124,02/13/2026,29m,2,1,10,No,,Xbox
S000304,P00125,2026-01-15T05:56:12Z,40,3,1,13,1,NA-East,PS5
S000305,P00125,2026.02.17,34,2,1,4,,APAC,PC
S000306,P00125,"02/18/2026 08:48",72,6,2,23,No,"NA West",
S000307,P00125,2026-02-27,"33 mins",3,2,11,N,EU-Central,pc/steam
S000308,P00125,2026-02-09T20:38:12Z,"65 mins",5,2,26,Y,APAC,
S000309,P00125,"01/22/2026 04:19",44,3,1,14,1,APAC,pc/steam
S000310,P00125,"02/06/2026 12:46",45m,4,3,19,0,NA-East,PC
S000311,P00125,2026-01-21T14:51:12Z,49,5,2,18,1,EU-Central,steam
S000312,P00126,09/29/2025,27,2,1,0,1,,Steam
S000313,P00129,2026/01/28,56,5,3,23,,APAC,Mobile
S000314,P00129,"02/05/2026 21:53",28,2,1,17,0,LATAM,Steam
S000315,P00129,2025-12-24T23:56:53Z,51,3,2,19,Yes,LATAM,Mobile
S000316,P00129,2026-01-02T09:27:53Z,28,2,1,10,0,LATAM,Mobile
S000317,P00129,2026-01-27T23:57:53Z,61,4,2,14,No,LATAM,pc/steam
S000318,P00129,"02/01/2026 00:49",31,2,1,5,,EU-Central,PC
S000319,P00129,2026-01-02T19:47:53Z,37,3,1,18,N,"NA West",PS5
S000320,P00129,"06.02.2026 00:57",35,2,1,13,Yes,LATAM,Xbox
S000321,P00129,2026-01-08T22:43:53Z,50,5,3,,0,EU-Central,IOS/Android
S000322,P00133,2025-10-09T11:31:08Z,49,3,2,15,Y,NA-East,IOS/Android
S000323,P00133,"10/16/25 01:45",16m,1,1,6,Y,"NA West",IOS/Android
S000324,P00133,2025-10-16,41,2,1,16,N,"NA West",Steam
S000325,P00133,2025-09-24T13:26:08Z,27m,2,1,,Y,LATAM,IOS/Android
S000326,P00133,2025-10-17T18:22:08Z,42,4,1,18,Y,NA-East,pc/steam
S000327,P00133,"09/24/2025 04:22",40,4,2,18,No,EU-Central,Steam
S000328,P00138,25-10-2025,46,3,1,13,1,,steam
S000329,P00138,"10/19/2025 02:58",32,3,2,10,,EU-Central,Steam
S000330,P00138,10-09-2025,50,3,1,14,N,LATAM,IOS/Android
S000331,P00138,2025-10-17,39,3,1,13,N,NULL,Mobile
S000332,P00139,"12/19/2025 20:09","58 mins",4,3,17,0,APAC,IOS/Android
S000333,P00139,2025-12-23T23:48:20Z,25,2,1,13,Y,LATAM,PS5
S000334,P00139,2026-01-11T06:16:20Z,13,1,0,1,N,LATAM,Mobile
S000335,P00141,2025-09-28T12:41:03Z,28,2,1,,N,LATAM,Xbox
S000336,P00141,"24.09.2025 22:18",28,3,1,11,Y,LATAM,PS5
S000337,P00141,"10/03/2025 10:12",47,3,1,20,No,,PC
S000338,P00141,2025-10-04T06:17:03Z,28m,2,1,11,1,"NA West",pc/steam
S000339,P00141,"29.10.2025 23:32",6,1,1,6,1,NA-East,Steam
S000340,P00141,2025-10-31T14:49:03Z,20,2,1,8,,NULL,IOS/Android
S000341,P00142,"Feb 13, 2026 12:55AM",50,4,,13,No,NULL,
S000342,P00143,"01/02/2026 01:28",36,3,1,14,N,APAC,steam
S000343,P00143,"01/10/26 15:39",70,5,2,17,0,NULL,Steam
S000344,P00143,"01/30/2026 00:09",57,4,2,13,Y,,
S000345,P00143,"01/30/2026 03:11",43,4,1,21,1,NA-East,steam
S000346,P00143,"02/09/2026 02:34",60,4,3,14,Yes,LATAM,IOS/Android
S000347,P00143,"02/18/2026 13:49",47,3,1,,1,"NA West",PS5
S000348,P00143,2026/01/29,29,2,1,6,N,APAC,pc/steam
S000349,P00147,"02/22/2026 00:37",43,4,2,13,,NA-East,steam
S000350,P00147,"03/21/2026 19:07","74 mins",5,3,15,Yes,APAC,pc/steam
